	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	221	221	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	82	82	39	39	39	82	82	192	221	221	221
1	192	192	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	82	106	82	106	82	106	39	39	39	39	82	221	221	221
2	192	39	39	39	39	39	82	82	39	82	82	82	106	82	82	82	82	82	106	106	106	82	106	146	82	39	39	39	39	192	221	221
3	192	39	39	39	39	82	82	119	106	106	106	106	119	119	119	106	106	119	119	119	119	146	146	146	106	39	39	39	39	82	221	221
4	192	39	39	39	82	82	119	133	119	119	119	119	119	119	119	119	119	146	146	146	192	192	192	146	146	82	82	39	39	39	221	221
5	82	39	39	39	106	119	133	146	146	133	133	133	119	119	119	146	146	146	146	146	146	146	192	146	146	146	133	39	39	39	192	221
6	82	39	39	39	119	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	192	192	146	146	146	106	39	82	192	221
7	82	39	39	82	133	146	146	146	146	146	146	146	119	119	119	119	119	119	146	146	146	146	146	119	146	146	146	133	39	133	221	221
8	192	39	39	106	146	146	106	106	106	119	119	119	119	119	119	119	119	119	119	106	82	82	82	106	106	133	146	192	39	221	221	221
9	192	192	39	133	146	133	106	106	82	82	39	82	82	119	106	119	119	119	106	82	82	82	82	82	106	119	146	192	82	221	221	221
10	221	221	133	106	39	39	106	106	106	82	82	82	82	82	119	119	106	106	106	39	82	82	106	106	106	106	39	39	106	221	221	221
11	221	221	221	106	82	133	133	133	106	106	82	82	82	106	82	119	119	106	39	82	82	39	39	106	106	106	146	39	39	221	221	221
12	221	221	221	133	133	192	133	106	82	39	39	39	82	106	82	133	119	106	82	82	82	39	82	39	82	106	146	133	119	146	221	221
13	221	221	221	106	192	192	106	106	82	82	39	39	82	106	133	119	119	106	82	82	82	82	82	106	133	146	133	133	106	192	221	221
14	221	221	221	82	192	192	133	119	119	106	106	106	106	119	133	119	146	39	106	106	82	106	106	106	119	133	146	133	119	192	221	221
15	221	221	221	106	192	146	133	133	119	119	106	106	119	119	119	119	146	119	106	106	106	106	106	119	119	119	146	192	119	221	221	221
16	221	221	221	221	192	146	133	133	119	119	119	119	119	133	119	133	119	119	119	106	106	106	119	119	119	133	133	192	146	221	221	221
17	192	192	221	221	192	146	133	133	119	119	119	106	119	133	119	146	119	146	146	119	119	119	119	119	133	133	133	221	192	221	221	221
18	192	221	221	221	146	192	146	133	119	119	119	106	106	119	146	133	133	119	119	106	106	133	133	119	133	133	133	221	221	221	192	192
19	192	192	192	221	192	192	133	133	119	119	119	119	106	133	146	133	119	119	119	119	106	106	119	119	119	133	192	221	221	192	192	221
20	192	192	192	192	192	192	146	133	133	119	119	106	106	119	119	119	119	119	106	119	119	119	119	119	133	133	192	221	221	221	221	221
21	221	221	221	221	192	221	192	133	133	119	119	119	119	82	82	106	82	82	82	146	146	119	119	119	133	133	192	221	221	221	221	221
22	221	221	221	221	192	221	192	133	133	119	119	119	119	119	119	119	106	106	106	146	146	119	119	133	133	133	221	221	221	221	221	221
23	146	146	192	221	221	221	192	146	133	133	119	119	119	119	119	106	106	119	119	146	119	133	119	133	146	146	221	221	221	221	221	221
24	146	146	146	192	192	192	221	146	146	133	106	106	133	119	82	106	119	82	106	119	119	106	119	119	133	192	221	221	221	192	192	192
25	146	146	146	192	192	192	192	146	146	119	106	39	39	82	82	82	82	82	39	39	39	82	106	133	146	192	221	221	192	221	221	221
26	146	146	192	192	192	192	192	192	146	119	106	119	106	106	106	106	106	106	106	106	106	106	119	133	146	221	221	221	221	221	221	221
27	146	192	192	192	192	192	192	192	146	133	133	133	133	106	82	82	82	82	82	106	119	119	119	133	146	221	221	221	221	221	221	221
28	192	192	192	192	192	192	192	192	192	133	133	133	119	119	106	82	82	106	106	119	119	119	133	133	133	221	221	221	82	82	82	82
29	146	192	192	192	192	192	192	192	192	39	146	133	119	119	119	119	106	119	106	119	119	119	133	82	192	39	39	82	82	82	82	82
30	221	221	221	221	192	192	192	221	192	192	82	133	133	133	119	119	106	106	119	119	119	133	146	106	133	39	39	39	39	82	82	82
31	221	221	221	221	221	221	221	221	221	192	192	133	133	133	133	106	106	106	119	119	119	119	119	106	192	39	39	39	39	39	82	82
